pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_insol,st_teff,pl_eqt,pl_tranmid,st_rad,st_mass
Kepler-191 c,17.73842886000,0.1241000000,2.47000000,29.7400,5105.00,596.00,2454981.99011000,0.868000,0.810000
Kepler-191 d,5.94504354800,0.0599000000,2.69000000,127.6400,5105.00,857.00,2455003.47223700,0.868000,0.810000
Kepler-1071 b,6.17998508000,0.0615000000,2.12000000,104.0600,5149.00,814.00,2454965.72278000,0.791000,0.811000
Kepler-118 b,7.51854537000,0.0701000000,1.42000000,89.4100,5064.00,784.00,2454965.53078000,0.864000,0.811000
Kepler-118 c,20.17202467200,0.1353000000,6.24000000,24.0000,5064.00,564.00,2454974.20918200,0.864000,0.811000
Kepler-1539 b,133.30324700000,0.4765000000,2.67000000,1.9400,5064.00,301.00,2455000.76042000,0.864000,0.811000
Kepler-1566 b,0.53991503300,0.0121000000,0.82000000,2901.6800,5102.00,1871.00,2454964.55207000,0.837000,0.811000
Kepler-1604 b,0.68368425600,0.0142000000,1.39000000,1594.4000,5017.00,1612.00,2454964.66040200,0.753000,0.811000
Kepler-1604 b,0.68368425600,0.0142000000,1.39000000,1594.4000,5017.00,1612.00,2454964.66040200,0.753000,0.811000
Kepler-1604 b,0.68368425600,0.0142000000,1.39000000,1594.4000,5017.00,1612.00,2454964.66040200,0.753000,0.811000
Kepler-185 b,1.63291641900,0.0253000000,1.13000000,554.0700,4979.00,1237.00,2454967.54956000,0.803000,0.811000
Kepler-185 c,20.72904234000,0.1378000000,1.94000000,18.6800,4979.00,530.00,2455018.43113000,0.803000,0.811000
Kepler-679 b,12.39358604000,0.0978000000,2.69000000,50.4600,5557.00,680.00,2455011.74572000,0.752000,0.811000
Kepler-679 b,12.39358604000,0.0978000000,2.69000000,50.4600,5557.00,680.00,2455011.74572000,0.752000,0.811000
Kepler-679 b,12.39358604000,0.0978000000,2.69000000,50.4600,5557.00,680.00,2455011.74572000,0.752000,0.811000
Kepler-847 b,2.34323189500,0.0322000000,1.34000000,355.0200,4876.00,1107.00,2454966.20662000,0.853000,0.811000
Kepler-847 b,2.34323189500,0.0322000000,1.34000000,355.0200,4876.00,1107.00,2454966.20662000,0.853000,0.811000
Kepler-847 b,2.34323189500,0.0322000000,1.34000000,355.0200,4876.00,1107.00,2454966.20662000,0.853000,0.811000
HD 189733 b,2.21857700000,0.0310600000,12.54287100,356.0000,5050.00,1209.00,2458334.99089900,0.765000,0.812000
Kepler-1168 b,55.82265390000,0.2661000000,2.21000000,4.8900,5167.00,379.00,2455002.03641000,0.737000,0.812000
Kepler-1168 b,55.82265390000,0.2661000000,2.21000000,4.8900,5167.00,379.00,2455002.03641000,0.737000,0.812000
Kepler-1168 b,55.82265390000,0.2661000000,2.21000000,4.8900,5167.00,379.00,2455002.03641000,0.737000,0.812000
Kepler-1813 b,2.81814715000,0.0364000000,1.30000000,298.2000,5167.00,1059.00,2454965.25336000,0.787000,0.812000
Kepler-1881 b,159.38878800000,0.5368000000,2.73000000,1.6500,5135.00,289.00,2455059.93130000,0.874000,0.812000
Kepler-1983 b,7.32851947000,0.0689000000,2.33000000,100.1300,5135.00,807.00,2454965.12857000,0.874000,0.812000
Kepler-548 b,4.45419433800,0.0495000000,12.21000000,252.2200,5359.00,1016.00,2455005.82020600,0.915000,0.812000
Kepler-548 b,4.45419433800,0.0495000000,12.21000000,252.2200,5359.00,1016.00,2455005.82020600,0.915000,0.812000
Kepler-548 b,4.45419433800,0.0495000000,12.21000000,252.2200,5359.00,1016.00,2455005.82020600,0.915000,0.812000
Kepler-548 b,4.45419425400,0.0495000000,11.76000000,252.2200,5359.00,1017.00,2455005.82022330,0.915000,0.812000
Kepler-1034 b,12.12401737000,0.0965000000,2.37000000,48.9800,5094.00,675.00,2454967.95500000,0.870000,0.813000
Kepler-1059 b,3.76417012000,0.0440000000,1.70000000,160.9900,5063.00,908.00,2454965.35462000,0.728000,0.813000
Kepler-215 b,9.36063971000,0.0812000000,1.76000000,149.8200,5741.00,892.00,2455004.96941000,1.008000,0.813000
Kepler-215 b,9.36063971000,0.0812000000,1.76000000,149.8200,5741.00,892.00,2455004.96941000,1.008000,0.813000
Kepler-215 b,9.36063971000,0.0812000000,1.76000000,149.8200,5741.00,892.00,2455004.96941000,1.008000,0.813000
Kepler-215 c,14.66719270000,0.1095000000,1.53000000,82.3900,5741.00,768.00,2454978.42240000,1.008000,0.813000
Kepler-215 c,14.66719270000,0.1095000000,1.53000000,82.3900,5741.00,768.00,2454978.42240000,1.008000,0.813000
Kepler-215 c,14.66719270000,0.1095000000,1.53000000,82.3900,5741.00,768.00,2454978.42240000,1.008000,0.813000
Kepler-215 d,30.86437869000,0.1798000000,2.45000000,30.5600,5741.00,600.00,2455005.93399000,1.008000,0.813000
